Subject number,Word recall result day 1,Study words
23,0,'דגל'
23,1,'ארון'
23,0,'שליח'
23,1,'שמפו'
23,0,'מכולת'
23,0,'תירס'
23,1,'מכנס'
23,0,'כובע'
23,0,'מחק'
23,0,'דפדפת'
23,0,'מקלדת'
23,0,'שדכן'
23,0,'דיג'
23,0,'כיסא'
23,0,'גבעה'
23,0,'קלסר'
23,0,'ביצה'
23,1,'מכללה'
23,1,'חליל'
23,0,'רמקול'
23,0,'עציץ'
23,0,'מדבקה'
23,1,'חמאה'
23,1,'מדשאה'
23,0,'עגלה'
23,0,'כתר'
23,0,'מכתבה'
23,0,'שלט'
47,0,'מכתבה'
47,1,'ביצה'
47,0,'מקלדת'
47,0,'שלט'
47,0,'גבעה'
47,0,'עגלה'
47,0,'מכולת'
47,0,'דפדפת'
47,0,'כיסא'
47,0,'שליח'
47,1,'מחק'
47,1,'עציץ'
47,1,'חליל'
47,1,'רמקול'
47,0,'דגן'
47,0,'קלסר'
47,1,'חמאה'
47,1,'בלון'
47,1,'כובע'
47,1,'מדבקה'
47,1,'ארון'
47,1,'דגל'
47,1,'דיג'
47,1,'כתר'
47,1,'שדכן'
47,1,'תירס'
47,1,'מדרכה'
47,0,'מלתחה'
47,0,'מדשאה'
47,1,'מכללה'
47,0,'מכנס'
47,1,'שמפו'
48,1,'ארון'
48,1,'דגל'
48,0,'רמקול'
48,1,'קלסר'
48,1,'מכתבה'
48,1,'חליל'
48,0,'מכללה'
48,0,'דפדפת'
48,0,'שמפו'
48,0,'כיסא'
48,0,'מכולת'
48,0,'חמאה'
48,0,'כתר'
48,0,'בלון'
48,0,'מכנס'
48,1,'דיג'
48,0,'מדבקה'
48,0,'ביצה'
48,1,'דגן'
48,0,'תירס'
48,0,'מלתחה'
48,0,'עגלה'
48,0,'עציץ'
48,1,'מדשאה'
48,0,'מחק'
48,0,'גבעה'
48,0,'כובע'
48,0,'מדרכה'
48,0,'מקלדת'
48,0,'שלט'
48,0,'שליח'
48,0,'שדכן'
49,1,'רמקול'
49,1,'מכולת'
49,1,'שמפו'
49,1,'מדשאה'
49,1,'גבעה'
49,0,'מחק'
49,0,'ארון'
49,0,'חליל'
49,0,'מכנס'
49,0,'מקלדת'
49,0,'קלסר'
49,0,'דגן'
49,0,'כובע'
49,0,'מלתחה'
49,0,'חמאה'
49,0,'דגל'
49,1,'מדרכה'
49,1,'עציץ'
49,0,'דפדפת'
49,1,'מכללה'
49,0,'שדכן'
49,0,'תירס'
49,0,'עגלה'
49,0,'בלון'
49,0,'מדבקה'
49,0,'דיג'
49,0,'שליח'
49,0,'שלט'
49,0,'ביצה'
49,0,'כיסא'
49,0,'מכתבה'
49,0,'כתר'
50,1,'שלט'
50,1,'בלון'
50,1,'מכולת'
50,1,'מקלדת'
50,1,'כיסא'
